,"X,Y","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""FabLab""
AC:84:C6:3E:EF:51","""linksys""
00:25:9C:98:4B:7D","""AP_1612927617""
BC:54:F9:FC:7F:60","""Lab ERNC""
00:90:4C:91:00:03","""Vibraciones""
50:C7:BF:DD:C3:B3","""Baxter""
EC:22:80:F3:EB:EA","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Microondas""
48:F8:B3:22:4D:4B","""Docentes FI""
0E:18:D6:CB:01:A4","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""CE5CFB""
98:FC:11:E2:A6:A5","""Lab 212""
00:23:CD:18:65:9C","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Comunicaciones FP 2,4""
14:91:82:30:FD:F6"
37,"(0,2)",-65,-78,-78,-71,-71,-71,-76,-52,-74,-77,-76,-75,-78,-80,-70,-89
38,"(0,2)",-65,-78,-78,-71,-71,-72,-76,-52,-74,-77,-77,-75,-78,-80,-70,-89
39,"(0,2)",-65,-78,-78,-71,-71,-72,-76,-52,-73,-77,-77,-76,-78,-80,-70,-89
40,"(0,2)",-65,-78,-78,-71,-71,-72,-76,-52,-73,-76,-76,-76,-78,-80,-70,-89
41,"(0,2)",-65,-78,-78,-71,-71,-72,-76,-52,-73,-77,-76,-75,-78,-80,-70,-89
42,"(0,2)",-65,-78,-78,-71,-70,-72,-76,-52,-73,-76,-76,-75,-78,-80,-70,-89
43,"(0,2)",-65,-78,-78,-71,-70,-72,-76,-52,-76,-77,-76,-76,-78,-80,-70,-89
44,"(0,2)",-65,-78,-78,-71,-70,-71,-76,-52,-74,-76,-76,-76,-78,-80,-70,-89
45,"(0,2)",-65,-78,-78,-70,-70,-71,-76,-52,-75,-77,-76,-77,-78,-80,-70,-89
46,"(0,2)",-65,-78,-78,-70,-70,-71,-77,-52,-75,-78,-77,-76,-78,-79,-70,-89
47,"(0,2)",-65,-78,-78,-70,-70,-71,-77,-52,-74,-78,-76,-76,-78,-79,-70,-89
48,"(0,2)",-65,-78,-78,-70,-71,-71,-77,-52,-74,-78,-76,-76,-78,-79,-70,-89
49,"(0,2)",-65,-78,-78,-70,-71,-70,-77,-52,-74,-77,-76,-77,-78,-79,-70,-89
50,"(0,2)",-65,-78,-78,-70,-70,-71,-77,-52,-74,-78,-76,-77,-78,-79,-70,-89
51,"(0,2)",-65,-78,-78,-72,-70,-71,-77,-52,-73,-78,-76,-76,-78,-79,-70,-89
52,"(0,2)",-65,-78,-78,-72,-72,-71,-77,-52,-73,-78,-77,-75,-78,-79,-70,-89
53,"(0,2)",-65,-78,-78,-71,-72,-71,-77,-52,-73,-78,-77,-75,-78,-79,-70,-89
54,"(0,2)",-65,-78,-78,-71,-72,-71,-77,-52,-73,-78,-77,-74,-78,-79,-70,-89
55,"(0,2)",-65,-78,-78,-71,-72,-71,-77,-52,-74,-78,-77,-76,-78,-79,-70,-89
56,"(0,2)",-65,-78,-78,-70,-72,-71,-77,-52,-73,-78,-77,-79,-78,-79,-70,-89
57,"(0,2)",-65,-78,-78,-70,-72,-71,-77,-52,-73,-78,-76,-78,-78,-79,-70,-89
58,"(0,2)",-65,-78,-78,-70,-72,-71,-77,-52,-75,-78,-76,-78,-78,-79,-70,-89
59,"(0,2)",-65,-78,-78,-70,-70,-71,-77,-52,-75,-78,-77,-78,-78,-79,-70,-89
60,"(0,2)",-65,-78,-78,-70,-70,-71,-77,-52,-74,-78,-77,-78,-78,-79,-70,-89
61,"(0,2)",-65,-78,-78,-70,-70,-71,-77,-52,-74,-78,-77,-77,-78,-79,-71,-89
62,"(0,2)",-65,-78,-78,-70,-71,-70,-77,-52,-73,-78,-76,-77,-78,-79,-71,-89
63,"(0,2)",-65,-78,-78,-70,-71,-70,-77,-52,-73,-77,-76,-77,-78,-79,-71,-89
64,"(0,2)",-65,-78,-78,-70,-71,-70,-77,-52,-73,-80,-76,-77,-78,-79,-71,-89
65,"(0,2)",-65,-78,-78,-70,-71,-70,-77,-52,-74,-78,-77,-76,-78,-79,-71,-89
66,"(0,2)",-65,-78,-78,-70,-70,-70,-77,-52,-74,-78,-77,-76,-78,-79,-71,-89
67,"(0,2)",-65,-78,-78,-70,-70,-70,-77,-56,-74,-78,-77,-76,-78,-79,-71,-89
68,"(0,2)",-65,-78,-78,-70,-70,-70,-77,-54,-74,-77,-76,-75,-78,-79,-71,-89
69,"(0,2)",-65,-78,-78,-70,-70,-70,-77,-53,-73,-77,-77,-76,-81,-79,-71,-89
70,"(0,2)",-65,-78,-78,-70,-70,-70,-77,-53,-73,-77,-77,-76,-80,-79,-71,-89
71,"(0,2)",-65,-78,-78,-71,-70,-70,-77,-52,-75,-77,-77,-77,-80,-79,-71,-89
72,"(0,2)",-65,-78,-78,-71,-70,-70,-75,-52,-74,-77,-77,-77,-79,-79,-71,-89
73,"(0,2)",-65,-78,-78,-71,-71,-70,-75,-52,-75,-78,-77,-77,-79,-79,-71,-89
74,"(0,2)",-65,-78,-78,-71,-71,-70,-76,-52,-75,-78,-77,-76,-79,-79,-71,-89
75,"(0,2)",-65,-78,-78,-71,-71,-70,-76,-52,-75,-78,-76,-75,-79,-79,-71,-89
76,"(0,2)",-65,-78,-78,-71,-70,-70,-76,-52,-75,-77,-76,-76,-79,-79,-71,-89
77,"(0,2)",-65,-78,-78,-71,-70,-71,-76,-61,-74,-77,-76,-76,-79,-79,-71,-89
78,"(0,2)",-65,-78,-78,-71,-70,-71,-76,-62,-75,-78,-76,-76,-79,-79,-70,-89
79,"(0,2)",-65,-78,-78,-70,-70,-71,-76,-57,-75,-78,-76,-76,-79,-79,-70,-89
80,"(0,2)",-65,-78,-78,-70,-70,-71,-76,-55,-74,-77,-77,-77,-79,-79,-70,-89
81,"(0,2)",-65,-78,-78,-70,-70,-71,-76,-54,-74,-78,-77,-77,-79,-79,-70,-89
82,"(0,2)",-65,-78,-78,-70,-70,-71,-76,-53,-74,-78,-77,-76,-79,-79,-70,-89
83,"(0,2)",-65,-78,-78,-70,-70,-70,-76,-52,-74,-78,-76,-77,-79,-79,-70,-89
84,"(0,2)",-65,-78,-78,-70,-70,-70,-76,-52,-74,-78,-77,-77,-79,-79,-70,-89
85,"(0,2)",-65,-78,-78,-70,-70,-70,-76,-52,-74,-78,-77,-77,-79,-79,-70,-89
86,"(0,2)",-65,-78,-78,-70,-70,-70,-77,-52,-74,-79,-77,-77,-79,-79,-70,-89
87,"(0,2)",-65,-78,-78,-70,-70,-70,-76,-52,-74,-79,-77,-77,-79,-79,-70,-89
88,"(0,2)",-65,-78,-78,-70,-70,-70,-75,-52,-74,-79,-76,-77,-79,-81,-70,-89
89,"(0,2)",-65,-78,-78,-70,-70,-70,-76,-52,-74,-78,-77,-77,-79,-81,-70,-87
90,"(0,2)",-65,-78,-78,-70,-70,-70,-76,-52,-74,-78,-77,-77,-79,-81,-70,-87
91,"(0,2)",-65,-78,-78,-70,-71,-70,-77,-52,-74,-78,-77,-77,-79,-81,-70,-87
92,"(0,2)",-65,-78,-78,-70,-71,-70,-77,-52,-75,-78,-77,-77,-79,-81,-70,-87
93,"(0,2)",-65,-78,-78,-70,-71,-70,-77,-52,-74,-78,-76,-77,-79,-81,-70,-88
94,"(0,2)",-65,-78,-78,-70,-71,-70,-77,-52,-74,-78,-76,-77,-79,-81,-70,-88
95,"(0,2)",-65,-78,-78,-70,-71,-70,-77,-52,-73,-78,-76,-76,-79,-81,-70,-88
96,"(0,2)",-65,-78,-78,-70,-71,-70,-77,-52,-73,-78,-76,-75,-79,-81,-70,-88
97,"(0,2)",-65,-78,-78,-70,-71,-70,-77,-52,-73,-78,-76,-76,-79,-81,-70,-88
98,"(0,2)",-65,-78,-78,-70,-71,-70,-76,-52,-73,-76,-75,-75,-79,-81,-70,-88
99,"(0,2)",-65,-78,-78,-70,-71,-70,-76,-52,-73,-76,-75,-75,-79,-81,-70,-88
100,"(0,2)",-65,-78,-78,-70,-71,-70,-76,-52,-74,-77,-75,-76,-79,-81,-70,-88
101,"(0,2)",-65,-78,-78,-70,-71,-70,-76,-58,-74,-76,-75,-77,-79,-81,-70,-88
102,"(0,2)",-65,-78,-78,-70,-71,-70,-76,-56,-73,-77,-75,-77,-79,-80,-70,-88
103,"(0,2)",-65,-78,-78,-70,-71,-70,-76,-55,-73,-76,-75,-76,-79,-80,-70,-88
104,"(0,2)",-65,-78,-78,-70,-71,-70,-76,-55,-73,-76,-75,-76,-79,-80,-71,-88
105,"(0,2)",-65,-78,-77,-70,-71,-70,-76,-54,-73,-76,-74,-76,-79,-80,-71,-88
106,"(0,2)",-65,-78,-77,-70,-71,-70,-77,-53,-73,-77,-75,-75,-79,-80,-71,-88
107,"(0,2)",-65,-78,-77,-70,-71,-70,-77,-52,-73,-77,-75,-76,-79,-80,-71,-88
108,"(0,2)",-67,-78,-77,-70,-71,-70,-77,-52,-73,-77,-75,-76,-79,-80,-71,-86
109,"(0,2)",-67,-78,-77,-70,-70,-70,-77,-52,-73,-77,-75,-76,-78,-80,-70,-86
110,"(0,2)",-67,-78,-77,-70,-70,-70,-76,-56,-73,-77,-75,-76,-78,-80,-70,-86
111,"(0,2)",-69,-78,-77,-70,-70,-70,-76,-55,-73,-76,-76,-77,-78,-80,-70,-86
112,"(0,2)",-69,-78,-77,-70,-70,-70,-76,-54,-73,-76,-77,-77,-78,-80,-70,-86
113,"(0,2)",-69,-78,-77,-70,-70,-70,-76,-53,-73,-76,-77,-77,-78,-80,-70,-86
114,"(0,2)",-68,-78,-77,-70,-70,-70,-76,-56,-73,-75,-76,-77,-78,-80,-70,-86
115,"(0,2)",-67,-78,-77,-70,-70,-70,-76,-55,-74,-75,-76,-76,-78,-80,-70,-86
116,"(0,2)",-67,-78,-77,-70,-70,-70,-76,-53,-73,-76,-76,-76,-78,-80,-70,-77
117,"(0,2)",-67,-78,-77,-70,-70,-70,-76,-53,-73,-77,-75,-77,-78,-80,-70,-77
118,"(0,2)",-67,-78,-77,-70,-71,-70,-76,-57,-73,-77,-75,-76,-78,-80,-70,-77
119,"(0,2)",-67,-78,-77,-72,-70,-70,-76,-53,-73,-77,-76,-75,-78,-80,-70,-77
120,"(0,2)",-67,-78,-77,-72,-70,-70,-76,-52,-73,-76,-77,-76,-78,-80,-70,-77
121,"(0,2)",-67,-78,-77,-72,-70,-70,-76,-52,-73,-76,-77,-76,-78,-79,-70,-77
122,"(0,2)",-67,-78,-77,-72,-70,-70,-76,-58,-73,-76,-76,-76,-78,-79,-70,-77
123,"(0,2)",-67,-78,-77,-72,-70,-70,-76,-54,-73,-76,-75,-75,-78,-79,-70,-77
124,"(0,2)",-67,-78,-77,-71,-70,-70,-76,-53,-74,-77,-76,-75,-78,-79,-70,-81
125,"(0,2)",-67,-78,-77,-71,-70,-70,-77,-53,-75,-77,-76,-75,-78,-79,-70,-80
126,"(0,2)",-67,-78,-77,-71,-71,-70,-76,-53,-73,-77,-76,-75,-78,-79,-70,-80
127,"(0,2)",-67,-78,-77,-71,-71,-70,-76,-53,-73,-76,-76,-74,-78,-79,-70,-79
128,"(0,2)",-67,-78,-77,-71,-71,-70,-76,-52,-73,-75,-76,-75,-78,-79,-70,-79
129,"(0,2)",-67,-78,-77,-70,-70,-70,-76,-57,-73,-77,-76,-74,-78,-79,-70,-79
130,"(0,2)",-67,-78,-76,-70,-70,-70,-76,-55,-73,-77,-76,-75,-78,-79,-70,-79
131,"(0,2)",-67,-78,-76,-70,-70,-70,-76,-55,-73,-77,-76,-75,-78,-79,-70,-79
132,"(0,2)",-67,-78,-76,-70,-70,-70,-76,-54,-73,-77,-76,-75,-78,-79,-70,-79
133,"(0,2)",-67,-78,-76,-70,-70,-70,-76,-53,-72,-77,-76,-76,-78,-79,-70,-79
134,"(0,2)",-66,-78,-76,-70,-70,-70,-76,-52,-72,-77,-77,-76,-78,-79,-70,-79
135,"(0,2)",-66,-78,-77,-70,-70,-70,-75,-52,-72,-77,-77,-76,-78,-79,-70,-79
136,"(0,2)",-66,-78,-77,-70,-70,-70,-75,-52,-72,-77,-77,-76,-77,-79,-70,-79
137,"(0,2)",-66,-78,-77,-70,-70,-70,-75,-52,-72,-76,-77,-75,-77,-79,-70,-79
138,"(0,2)",-66,-77,-70,-70,-70,-75,-62,-72,-76,-76,-75,-77,-79,-70,-79,-88
139,"(0,2)",-66,-77,-70,-70,-70,-75,-60,-72,-76,-76,-75,-77,-79,-70,-79,-86
140,"(0,2)",-66,-77,-70,-70,-70,-75,-57,-72,-77,-76,-75,-77,-79,-70,-79,-86
141,"(0,2)",-66,-77,-70,-71,-70,-75,-56,-72,-76,-76,-74,-77,-79,-70,-79,-87
142,"(0,2)",-66,-77,-70,-71,-70,-75,-54,-72,-77,-76,-74,-77,-79,-70,-79,-87
143,"(0,2)",-66,-77,-70,-71,-70,-76,-53,-72,-77,-76,-73,-77,-81,-70,-79,-87
144,"(0,2)",-66,-77,-70,-70,-70,-76,-52,-71,-75,-75,-74,-77,-81,-70,-79,-87
145,"(0,2)",-66,-77,-70,-70,-70,-76,-52,-71,-75,-76,-75,-77,-80,-70,-78,-87
146,"(0,2)",-66,-77,-70,-70,-70,-76,-52,-72,-76,-76,-74,-77,-80,-70,-78,-87
147,"(0,2)",-66,-77,-70,-70,-70,-76,-58,-72,-76,-76,-75,-77,-79,-70,-78,-87
148,"(0,2)",-66,-77,-70,-70,-70,-76,-55,-72,-75,-76,-75,-77,-79,-70,-78,-87
149,"(0,2)",-66,-77,-70,-70,-70,-76,-54,-72,-76,-75,-75,-77,-79,-70,-78,-87
150,"(0,2)",-66,-76,-70,-70,-70,-76,-52,-72,-77,-75,-77,-77,-79,-70,-78,-87
151,"(0,2)",-66,-76,-70,-70,-70,-76,-52,-72,-76,-75,-77,-77,-79,-70,-78,-86
152,"(0,2)",-66,-76,-70,-70,-70,-76,-52,-72,-76,-75,-77,-77,-79,-70,-78,-86
153,"(0,2)",-66,-76,-70,-70,-70,-76,-52,-72,-77,-75,-77,-77,-79,-70,-78,-86
154,"(0,2)",-66,-76,-70,-70,-70,-76,-52,-72,-76,-75,-77,-77,-79,-70,-78,-86
155,"(0,2)",-66,-76,-70,-70,-70,-76,-52,-72,-77,-75,-76,-77,-79,-70,-78,-86
156,"(0,2)",-66,-76,-70,-70,-72,-76,-52,-72,-77,-75,-77,-77,-79,-70,-78,-86
157,"(0,2)",-66,-70,-70,-72,-76,-52,-72,-76,-75,-77,-77,-79,-70,-78,-86,-76
158,"(0,2)",-66,-70,-70,-72,-77,-52,-72,-76,-76,-75,-77,-79,-71,-78,-87,-77
159,"(0,2)",-66,-70,-71,-72,-77,-52,-72,-77,-76,-75,-77,-79,-70,-78,-87,-76
160,"(0,2)",-66,-70,-71,-72,-77,-52,-72,-76,-76,-75,-77,-79,-73,-78,-87,-77
161,"(0,2)",-66,-70,-70,-72,-77,-52,-72,-76,-77,-75,-77,-79,-73,-78,-88,-77
162,"(0,2)",-66,-70,-70,-72,-77,-52,-72,-77,-77,-74,-77,-79,-73,-78,-88,-77
163,"(0,2)",-66,-70,-71,-72,-77,-52,-72,-77,-76,-74,-77,-79,-72,-78,-88,-77
164,"(0,2)",-66,-70,-71,-72,-77,-52,-72,-77,-77,-74,-77,-79,-72,-78,-88,-76
165,"(0,2)",-66,-70,-71,-72,-77,-52,-72,-77,-77,-73,-77,-79,-72,-78,-88,-75
166,"(0,2)",-66,-70,-71,-72,-77,-52,-72,-77,-77,-74,-77,-79,-72,-78,-88,-74
167,"(0,2)",-66,-70,-71,-72,-77,-52,-72,-77,-76,-74,-77,-79,-72,-78,-88,-75
168,"(0,2)",-66,-70,-71,-72,-77,-52,-72,-76,-76,-75,-77,-79,-71,-78,-88,-74
169,"(0,2)",-66,-70,-71,-72,-77,-52,-72,-75,-76,-75,-77,-79,-71,-78,-88,-74
170,"(0,2)",-66,-70,-71,-72,-77,-56,-72,-75,-76,-75,-77,-79,-71,-78,-88,-74
171,"(0,2)",-66,-70,-71,-72,-77,-54,-72,-75,-76,-76,-77,-79,-71,-78,-88,-75
172,"(0,2)",-66,-70,-71,-72,-77,-53,-72,-76,-76,-75,-77,-79,-71,-78,-88,-74
173,"(0,2)",-66,-70,-70,-72,-77,-56,-72,-77,-76,-74,-77,-79,-71,-78,-88,-74
174,"(0,2)",-66,-70,-71,-72,-77,-54,-73,-76,-77,-75,-77,-79,-71,-78,-88,-74
175,"(0,2)",-66,-70,-70,-72,-77,-53,-73,-76,-76,-75,-77,-79,-71,-78,-89,-74
176,"(0,2)",-66,-70,-70,-72,-77,-57,-73,-75,-75,-75,-77,-79,-71,-78,-89,-74
177,"(0,2)",-66,-70,-70,-72,-76,-56,-73,-75,-76,-75,-77,-79,-71,-78,-87,-74
178,"(0,2)",-66,-70,-70,-72,-76,-54,-73,-75,-76,-75,-77,-79,-71,-78,-86,-74
179,"(0,2)",-66,-70,-70,-72,-76,-53,-73,-76,-76,-75,-77,-79,-70,-78,-86,-74
180,"(0,2)",-66,-70,-70,-72,-76,-52,-73,-76,-76,-74,-77,-79,-70,-78,-86,-73
181,"(0,2)",-66,-70,-70,-72,-75,-52,-73,-76,-77,-75,-77,-79,-70,-78,-86,-73
182,"(0,2)",-66,-70,-70,-72,-75,-55,-73,-76,-77,-75,-77,-79,-71,-78,-86,-73
183,"(0,2)",-66,-70,-70,-72,-75,-53,-73,-76,-77,-75,-77,-79,-71,-78,-86,-73
184,"(0,2)",-66,-70,-70,-72,-75,-52,-73,-77,-76,-76,-77,-79,-71,-78,-86,-73
185,"(0,2)",-66,-70,-70,-72,-75,-52,-73,-76,-75,-76,-77,-79,-71,-78,-86,-73
186,"(0,2)",-66,-70,-70,-72,-76,-56,-74,-77,-76,-76,-77,-79,-71,-78,-86,-74
187,"(0,2)",-66,-70,-70,-72,-76,-54,-75,-76,-77,-76,-77,-79,-71,-78,-86,-74
188,"(0,2)",-66,-70,-70,-72,-76,-53,-74,-77,-77,-76,-77,-79,-71,-78,-86,-74
189,"(0,2)",-66,-70,-70,-72,-76,-53,-73,-77,-77,-75,-76,-79,-71,-78,-86,-74
190,"(0,2)",-66,-70,-70,-72,-76,-52,-73,-76,-77,-76,-76,-79,-71,-78,-86,-74
191,"(0,2)",-66,-70,-71,-72,-75,-52,-73,-75,-77,-75,-76,-79,-71,-78,-86,-74
192,"(0,2)",-66,-70,-71,-72,-75,-52,-73,-75,-77,-75,-76,-79,-70,-78,-88,-74
193,"(0,2)",-66,-70,-71,-72,-76,-52,-73,-75,-77,-74,-76,-79,-70,-78,-88,-74
194,"(0,2)",-66,-70,-71,-72,-76,-52,-73,-75,-77,-75,-77,-79,-70,-78,-88,-76
195,"(0,2)",-66,-70,-71,-72,-76,-52,-73,-76,-77,-74,-77,-79,-70,-78,-88,-76
196,"(0,2)",-66,-70,-71,-72,-76,-52,-72,-75,-76,-75,-77,-79,-70,-78,-88,-76
197,"(0,2)",-66,-70,-71,-72,-76,-52,-72,-74,-76,-75,-77,-79,-70,-78,-88,-76
198,"(0,2)",-66,-70,-71,-72,-76,-52,-72,-74,-76,-75,-76,-79,-70,-78,-88,-76
199,"(0,2)",-66,-70,-71,-72,-76,-52,-72,-76,-76,-76,-76,-79,-70,-78,-88,-76
200,"(0,2)",-66,-70,-71,-72,-76,-52,-72,-75,-76,-76,-76,-79,-70,-78,-88,-76
201,"(0,2)",-66,-70,-70,-72,-76,-52,-72,-75,-75,-76,-76,-79,-70,-78,-88,-76
202,"(0,2)",-66,-70,-70,-72,-76,-52,-72,-75,-75,-76,-77,-79,-70,-78,-88,-76
203,"(0,2)",-66,-70,-70,-72,-76,-52,-72,-75,-75,-76,-77,-79,-70,-78,-88,-77
204,"(0,2)",-66,-70,-70,-72,-76,-52,-72,-75,-75,-76,-77,-79,-70,-78,-88,-77
205,"(0,2)",-66,-70,-70,-72,-76,-52,-72,-75,-75,-76,-77,-79,-70,-78,-88,-76
206,"(0,2)",-66,-70,-70,-72,-76,-52,-72,-75,-76,-77,-77,-79,-70,-78,-87,-76
207,"(0,2)",-66,-70,-70,-72,-76,-52,-72,-75,-77,-77,-77,-79,-70,-78,-87,-76
208,"(0,2)",-66,-70,-70,-72,-76,-52,-72,-75,-77,-76,-77,-79,-70,-78,-87,-75
209,"(0,2)",-66,-70,-70,-72,-76,-52,-73,-74,-77,-76,-77,-79,-70,-78,-87,-74
210,"(0,2)",-66,-70,-70,-72,-76,-60,-72,-75,-77,-76,-77,-79,-70,-78,-87,-74
211,"(0,2)",-66,-70,-70,-72,-77,-57,-72,-76,-77,-77,-77,-79,-70,-78,-87,-76
212,"(0,2)",-66,-70,-70,-72,-77,-55,-72,-76,-77,-75,-77,-79,-70,-78,-85,-76
213,"(0,2)",-66,-70,-70,-72,-77,-54,-73,-76,-76,-76,-77,-79,-70,-78,-85,-78
214,"(0,2)",-66,-70,-70,-72,-77,-53,-73,-77,-77,-76,-77,-79,-70,-78,-86,-76
215,"(0,2)",-66,-70,-70,-72,-77,-52,-73,-77,-76,-77,-77,-79,-70,-78,-87,-74
216,"(0,2)",-66,-70,-70,-72,-77,-52,-73,-76,-77,-77,-77,-79,-70,-78,-87,-74
217,"(0,2)",-66,-70,-70,-72,-76,-52,-73,-76,-77,-77,-77,-79,-70,-78,-87,-75
218,"(0,2)",-66,-70,-69,-72,-76,-56,-73,-76,-77,-77,-77,-79,-70,-78,-87,-74
219,"(0,2)",-66,-70,-70,-72,-77,-62,-73,-77,-76,-77,-77,-79,-70,-78,-87,-74
220,"(0,2)",-66,-70,-70,-72,-77,-60,-73,-77,-76,-77,-77,-79,-70,-78,-87,-75
221,"(0,2)",-66,-70,-70,-72,-77,-61,-72,-77,-77,-77,-77,-79,-70,-78,-88,-74
222,"(0,2)",-66,-70,-70,-72,-75,-56,-72,-77,-76,-77,-77,-79,-70,-78,-88,-74
223,"(0,2)",-66,-70,-71,-72,-75,-55,-72,-77,-75,-76,-77,-79,-70,-78,-88,-74
224,"(0,2)",-66,-70,-71,-72,-74,-53,-74,-77,-76,-75,-77,-79,-70,-78,-88,-74
225,"(0,2)",-66,-70,-71,-72,-75,-52,-74,-77,-76,-74,-77,-79,-70,-78,-89,-74
226,"(0,2)",-66,-70,-71,-72,-75,-52,-74,-77,-76,-75,-77,-79,-70,-78,-89,-74
227,"(0,2)",-66,-70,-71,-72,-75,-52,-73,-77,-77,-74,-77,-79,-70,-78,-89,-74
228,"(0,2)",-66,-70,-70,-72,-75,-52,-73,-77,-77,-74,-77,-79,-70,-78,-89,-74
229,"(0,2)",-66,-70,-70,-72,-75,-52,-73,-77,-76,-74,-77,-79,-70,-78,-89,-75
